sheet,row,column,header,raw_value,display_value
角色-女,4102,A,名称,莫宁,莫宁
角色-女,4102,B,ID,1,1
角色-女,4102,C,动作,A1-1,A1-1
角色-女,4102,D,备注,"=""第""&ROUND(0*base!$B$2,0)+1&""F获得""&$V4102&""点核心""",第1F获得20点核心
角色-女,4102,E,发生帧,"=INT(0.17225765*base!$B$2)+ROUND(0.17225765*base!$B$2-INT(0.17225765*base!$B$2),0)+(1-0.17225765>=1-0.5/base!$B$2)",10
角色-女,4102,F,持续帧,"=INT(0.3*base!$B$2)+ROUND(0.3*base!$B$2-INT(0.3*base!$B$2),0)+(1-0.3>=1-0.5/base!$B$2)",18
角色-女,4102,O,可弹刀,×,×
角色-女,4102,P,可脱手,√,√
角色-女,4102,R,削韧值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D331D0>,12.6
角色-女,4102,S,偏谐值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D33230>,8.4
角色-女,4102,T,大招回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D33260>,0.27
角色-女,4102,U,协奏回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D33290>,0.84
角色-女,4102,V,核心回收1,=0+2000*0.01,20
角色-女,4102,Y,受击韧性系数,0.75,0.75
角色-女,4102,Z,中断优先级,2,2
角色-女,4102,AA,位置状态,地面,地面
角色-女,4102,AM,命中类型,目标,目标
角色-女,4102,AN,位置基准,莫宁,莫宁
角色-女,4102,AR,位置基准偏移,"(0,-65,100)","(0,-65,100)"
角色-女,4102,AS,中心位置偏移,"(1600,0,0)","(1600,0,0)"
角色-女,4102,AT,判定范围,"矩形(1600,40,40)","矩形(1600,40,40)"
角色-女,4103,C,动作,A1-2,A1-2
角色-女,4103,E,发生帧,"=INT(0.21583791*base!$B$2)+ROUND(0.21583791*base!$B$2-INT(0.21583791*base!$B$2),0)+(1-0.21583791>=1-0.5/base!$B$2)",13
角色-女,4103,F,持续帧,"=INT(0.3*base!$B$2)+ROUND(0.3*base!$B$2-INT(0.3*base!$B$2),0)+(1-0.3>=1-0.5/base!$B$2)",18
角色-女,4103,G,顿帧-自,"=MAX(CEILING($AF4103*(1-$AD4103),1)-INT(base!$B$3<>TRUE),0)",4
角色-女,4103,H,顿帧-敌,"=MAX(CEILING($AI4103*(1-$AG4103),1)-INT(base!$B$3<>TRUE),0)",5
角色-女,4103,O,可弹刀,√,√
角色-女,4103,P,可脱手,√,√
角色-女,4103,Q,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292EF164C80>,√,√
角色-女,4103,R,削韧值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D338F0>,16.8
角色-女,4103,S,偏谐值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D33920>,11.2
角色-女,4103,T,大招回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D33950>,0.35
